INDEX,pop_daytime_fishnet500,pop_nighttime_fishnet500,ACC_ACD,ACC_COM,ACC_ET,ACC_LS,DEN_FLOOR,DEN_BUILT,DEN_WALK,DEN_DRIVE,DEN_EVI,DEN_MNDWI,DIS_METRO,DIS_BUS,ACC_CBD,DEN_EXCHANGE,DEN_BUS
G500-495,3.697222,4.933333,0,0,0,0,0.0,0.0,0.006019,0.0,0.522588,0.024085,9.515533,1.192181,55.578002,0.0,0
G500-496,3.530556,4.833333,0,2,0,0,0.0,0.0,0.000557,0.0,0.610352,0.005261,9.408552,0.787126,55.802393,0.0,0
G500-497,3.905556,4.89,0,2,0,0,0.0,0.0,0.001014,0.001014,0.767275,0.0,9.253583,0.287485,56.030348,0.0,0
G500-498,5.367857,2.833333,0,3,0,0,0.0,0.0,0.002486,0.002821,0.796871,0.0,9.123418,0.193681,56.261822,0.0,2
G500-499,13.088889,9.266667,0,1,0,0,0.0,0.0,0.0,0.005289,0.785304,0.0,9.01913,0.348312,56.496774,0.0,0
G500-500,16.155556,17.166667,0,2,8,2,0.0,0.0,0.0,0.003169,0.402455,0.0,8.941625,0.003305,56.735159,0.0,4
G500-501,4.458333,5.8,0,0,0,0,0.0,0.0,0.0,6.4e-05,0.144631,0.0,8.891603,0.497086,56.976934,0.0,0
G500-503,4.577778,4.633333,0,0,0,0,0.0,0.0,0.002521,0.002521,0.558657,0.0,8.875613,1.039461,57.470485,0.0,0
G500-505,2.843254,2.416667,0,0,0,0,0.0,0.0,0.000365,0.00034,0.183199,0.245178,8.971756,1.059344,57.977084,0.0,0
G500-506,7.355556,7.2,0,0,0,0,0.0,0.0,0.011072,0.007365,0.501154,0.14331,9.060924,1.173593,58.23517,0.0,0
G500-517,4.113889,2.246667,0,0,0,0,0.0,0.0,0.0,0.0,0.009248,0.488253,12.186209,1.49673,61.860662,0.0,0
G500-520,3.04127,4.75,0,0,0,0,0.0,0.0,0.00165,0.000281,0.606295,0.077507,9.547127,1.101472,54.26257,0.0,0
G500-521,4.702778,3.513333,0,0,1,0,0.0,0.0,0.001754,0.004525,0.772328,0.015702,9.378596,1.370557,54.474024,0.0,0
G500-522,3.252778,3.791667,0,1,0,0,0.0,0.0,0.000699,0.003966,0.831611,0.001516,9.234094,1.744596,54.689232,0.0,0
G500-526,2.111111,2.47,0,0,0,0,0.0,0.0,0.0,0.0,0.595813,0.013644,8.775558,0.584052,55.586719,0.0,0
G500-527,23.044444,22.866667,0,2,4,0,0.0,0.0,0.002653,0.012681,0.722333,0.0,8.638192,0.345588,55.820033,0.0,0
G500-528,51.888889,59.333333,0,6,19,8,0.0,0.0,0.002433,0.007079,0.612981,0.0,8.527972,0.183383,56.056837,0.0,2
G500-529,17.755556,21.533333,0,0,0,0,0.0,0.0,0.0,0.0,0.315075,0.0,8.445961,0.359702,56.297085,0.0,0
G500-530,7.174603,5.993333,0,0,0,0,0.0,0.0,0.0,0.0,0.453066,0.0,8.392986,0.706151,56.540733,0.0,0
G500-531,6.155556,5.1,1,0,0,0,0.0,0.0,0.00609,0.002499,0.208612,0.0,8.369597,1.002656,56.787739,0.0,0
G500-532,2.425,3.783333,0,1,0,1,0.0,0.0,0.007795,0.000317,0.443438,0.0,8.376044,0.704339,57.038059,0.0,0
G500-534,3.028571,2.54,0,0,0,0,0.0,0.0,0.009748,0.008728,0.35432,0.042572,8.477854,0.646948,57.548464,0.0,0
G500-543,20.711111,24.433333,0,1,0,0,0.0,0.0,0.00122,0.00122,0.074852,0.001023,11.143132,0.474989,60.86657,0.0,0
G500-544,3.841667,2.713333,0,1,0,0,0.0,0.0,4.5e-05,4.5e-05,0.112686,0.0,11.479431,0.796245,61.161525,0.0,0
G500-546,18.022222,12.913333,0,0,0,0,0.0,0.0,0.002728,0.0,0.194704,0.364286,9.420814,0.782715,53.394048,0.0,0
G500-547,9.733333,9.6,0,0,0,0,0.0,0.0,0.000711,0.0,0.425532,0.006064,9.283382,0.527095,53.599601,0.0,0
G500-548,8.022222,8.793333,1,1,1,1,0.0,0.0,0.001863,0.005504,0.579006,0.0,9.08249,0.665594,53.809014,0.0,0
G500-549,7.066667,9.666667,0,0,1,0,0.0,0.0,0.0,0.002484,0.517654,0.000975,8.90517,1.052711,54.022244,0.0,0
G500-552,1.834821,2.46,0,0,0,0,0.0,0.0,0.001502,0.0,0.760431,0.007449,8.528385,1.075511,54.684378,0.0,0
G500-554,5.044444,3.846667,0,0,0,0,0.0,0.0,0.000689,0.005299,0.548521,0.01516,8.300122,0.420875,55.144055,0.0,0
G500-557,32.6,22.3,0,0,0,0,0.0,0.0,0.001448,0.001448,0.115177,0.0,7.950841,0.393273,55.86005,0.0,0
G500-558,13.622222,13.966667,1,4,1,0,0.0,0.0,0.002823,0.002489,0.275399,0.0,7.894544,0.31463,56.105597,0.0,0
G500-559,4.155556,3.473333,4,1,0,0,0.0,0.0,0.009534,0.000938,0.40635,0.016718,7.869674,0.523339,56.35451,0.0,0
G500-560,3.417857,2.453333,0,1,0,0,0.0,0.0,0.00969,4.2e-05,0.472958,0.0,7.876529,0.540764,56.606745,0.0,0
G500-561,4.219444,2.993333,0,0,0,0,0.0,0.0,0.012358,0.005488,0.418406,0.05338,7.915028,0.060417,56.862258,0.0,1
G500-570,22.311111,41.7,0,0,0,0,0.0,0.0,0.000522,0.000522,0.255687,0.403965,10.116082,0.314489,59.87685,0.0,0
G500-571,106.977778,207.233333,4,2,1,3,0.0,0.0,0.004637,0.004637,0.32939,0.0,10.437579,0.202046,60.168347,0.0,6
G500-572,18.688889,10.266667,0,4,0,1,0.0,0.0,0.003628,0.003628,0.155244,0.0,10.772697,0.166771,60.462573,0.0,6
G500-573,3.99246,2.191667,0,0,0,0,0.0,0.0,0.0,0.0,0.047562,0.067142,11.120205,0.660457,60.75949,0.0,0
G500-577,6.080556,8.466667,0,2,0,0,0.0,0.0,0.002041,0.0,0.406476,0.122281,9.104177,0.81512,52.734382,0.0,0
G500-578,17.244444,18.366667,0,1,0,0,0.0,0.0,0.002824,0.0,0.371942,0.0,8.942424,0.574562,52.937773,0.0,0
G500-579,13.022222,18.266667,0,1,0,0,0.0,0.0,0.000448,0.004398,0.461657,0.0,8.806126,0.087192,53.145091,0.0,1
G500-581,3.263889,2.966667,0,0,1,0,0.0,0.0,0.000282,0.000282,0.424114,0.067835,8.434811,0.91541,53.571319,0.0,0
G500-585,6.155556,3.833333,0,0,0,0,0.0,0.0,0.002746,0.005099,0.780999,0.0,7.961644,0.368467,54.468867,0.0,0
G500-588,2.3,2.054167,0,0,0,0,0.0,0.0,0.001617,0.001617,0.254918,0.001516,7.549141,0.631582,55.180031,0.0,0
G500-589,7.733333,5.3,0,0,0,0,0.0,0.0,0.003898,0.003898,0.379626,0.0,7.456372,0.172752,55.42408,0.0,1
G500-591,4.24127,4.743333,0,0,0,0,0.0,0.0,0.006385,0.00157,0.666578,0.04669,7.369761,0.205917,55.922395,0.0,3
G500-592,5.430556,3.533333,0,1,0,0,0.0,0.0,0.014204,0.005454,0.627257,0.008447,7.377081,0.70533,56.17657,0.0,0
G500-593,2.977381,2.075,1,0,1,2,0.0,0.0,0.008957,0.000135,0.244503,0.0,7.418172,0.547707,56.434031,0.0,0
G500-601,11.208333,5.653333,0,0,0,0,0.0,0.0,0.0,0.0,0.235411,0.282086,9.413223,0.440012,59.179624,0.0,0
G500-602,4.774306,3.39,0,0,0,0,0.0,0.0,0.005099,0.005099,0.245821,0.080636,9.732251,0.428684,59.470334,0.0,0
G500-603,10.280556,4.436667,0,0,0,0,0.0,0.0,0.0,0.0,0.123076,0.0,10.066015,0.407583,59.763814,0.0,0
G500-604,9.533333,4.886667,0,0,0,0,0.0,0.0,0.0,0.0,0.014124,0.0,10.413098,0.574465,60.060022,0.0,0
